listing_id,host_id,property_type,room_type,city,country,accommodates,bedrooms,bathrooms,price_per_night,created_at
1,150,House,Entire home,West Lisafort,Malta,3,1,2,84,15:54.0
2,91,Apartment,Private room,North Cherylberg,Western Sahara,1,2,3,140,15:54.0
3,65,Condo,Entire home,Whitneyfort,Martinique,1,4,3,215,15:54.0
4,48,Condo,Entire home,New Crystal,Argentina,1,2,1,165,15:54.0
5,63,Apartment,Private room,Churchmouth,Maldives,5,2,3,136,15:54.0
6,109,Apartment,Private room,Port Juan,Italy,2,3,2,209,15:54.0
7,18,House,Private room,Christinaborough,Svalbard & Jan Mayen Islands,1,1,1,102,15:54.0
8,139,Condo,Private room,Lake Jennaberg,Costa Rica,6,4,3,104,15:54.0
9,135,Apartment,Entire home,South Samanthaside,Poland,1,2,3,55,15:54.0
10,131,Apartment,Entire home,Carlsonside,Saudi Arabia,4,3,1,231,15:54.0
11,15,House,Entire home,North Micheal,Uruguay,1,4,3,216,15:54.0
12,54,Condo,Private room,New Maurice,United States Virgin Islands,3,1,1,253,15:54.0
13,121,Condo,Private room,Carlsonfort,Czech Republic,6,3,1,197,15:54.0
14,95,Condo,Private room,Johnsonborough,Albania,2,3,2,130,15:54.0
15,71,House,Entire home,Lake Nicholasborough,New Zealand,3,3,1,102,15:54.0
16,107,Condo,Private room,Jamesfurt,San Marino,6,1,3,160,15:54.0
17,64,House,Private room,Port Dustinhaven,Pakistan,3,2,3,78,15:54.0
18,29,Apartment,Private room,Breannaport,South Africa,3,4,3,92,15:54.0
19,21,Apartment,Entire home,Austinton,Latvia,6,4,2,70,15:54.0
20,3,Condo,Entire home,East Sarahview,Ukraine,5,4,1,204,15:54.0
21,144,House,Entire home,Jamesview,Norfolk Island,5,4,1,204,15:54.0
22,172,Apartment,Entire home,Davilahaven,Saint Lucia,2,4,3,80,15:54.0
23,146,Condo,Entire home,North Kristen,Aruba,1,1,3,92,15:54.0
24,43,House,Private room,East Loriland,Wallis and Futuna,3,2,2,77,15:54.0
25,180,Apartment,Private room,Leonbury,Malta,6,4,3,153,15:54.0
26,54,House,Private room,New Gracefurt,Slovakia (Slovak Republic),2,4,1,204,15:54.0
27,7,Apartment,Private room,New Brianberg,Maldives,3,1,2,142,15:54.0
28,186,House,Entire home,Fraziertown,Indonesia,4,3,3,92,15:54.0
29,122,Apartment,Entire home,Beverlyton,Sweden,2,1,3,244,15:54.0
30,53,Apartment,Entire home,Josephville,Vanuatu,3,4,2,132,15:54.0
31,13,Apartment,Entire home,Lake Brian,Iran,6,2,2,290,15:54.0
32,23,House,Entire home,Eatonfort,United Arab Emirates,4,1,1,157,15:54.0
33,118,House,Entire home,New Amandahaven,Uganda,4,3,3,108,15:54.0
34,184,Apartment,Entire home,Jordanview,Andorra,4,4,2,251,15:54.0
35,94,House,Entire home,South Ryanstad,Tuvalu,4,3,2,135,15:54.0
36,190,Apartment,Entire home,Smithtown,Mongolia,4,4,3,235,15:54.0
37,139,Apartment,Entire home,Downsbury,Azerbaijan,2,1,2,108,15:54.0
38,192,Apartment,Entire home,Lake Courtney,China,3,3,3,195,15:54.0
39,139,House,Entire home,Lake Christopher,Aruba,3,4,2,198,15:54.0
40,40,House,Entire home,North Kathrynstad,Korea,6,4,1,167,15:54.0
41,158,Condo,Entire home,North Alexisfurt,Kuwait,1,3,3,226,15:54.0
42,192,Apartment,Entire home,East Jacob,Brazil,3,2,2,137,15:54.0
43,105,Condo,Entire home,Barnestown,Czech Republic,6,3,3,251,15:54.0
44,86,House,Private room,South Anthonyville,Malawi,2,2,1,107,15:54.0
45,68,Condo,Private room,North Cynthia,Tanzania,5,4,2,96,15:54.0
46,158,House,Private room,Port Victoriamouth,Palestinian Territory,4,3,2,226,15:54.0
47,71,Apartment,Private room,South David,Cape Verde,3,2,1,251,15:54.0
48,169,Apartment,Entire home,Leeland,Ghana,5,2,1,164,15:54.0
49,1,Apartment,Private room,Lake Kennethstad,Anguilla,5,2,1,250,15:54.0
50,177,Condo,Entire home,East Kelsey,Holy See (Vatican City State),1,2,2,125,15:54.0
51,63,House,Private room,Danafurt,Pitcairn Islands,6,1,2,141,15:54.0
52,122,House,Entire home,Laurachester,Micronesia,6,2,3,106,15:54.0
53,179,Condo,Entire home,Robertfort,Armenia,2,1,2,267,15:54.0
54,181,House,Private room,East Tracy,Turkey,2,2,1,98,15:54.0
55,107,House,Private room,Victoriafurt,El Salvador,4,3,3,197,15:54.0
56,101,House,Private room,West Shaneville,Botswana,1,3,1,58,15:54.0
57,119,House,Entire home,North Joshuahaven,Saint Barthelemy,6,3,2,216,15:54.0
58,43,Apartment,Entire home,East Brandyborough,India,4,2,1,246,15:54.0
59,9,Apartment,Entire home,Lawrenceport,Madagascar,5,1,2,154,15:54.0
60,168,House,Private room,Jenniferbury,Seychelles,6,2,2,51,15:54.0
61,33,Condo,Entire home,Lisaport,Lesotho,6,1,3,262,15:54.0
62,25,House,Entire home,Ayalafurt,Tunisia,3,2,1,250,15:54.0
63,54,Condo,Private room,Alisonfort,Uruguay,2,3,2,143,15:54.0
64,20,House,Entire home,Ritahaven,India,6,1,3,201,15:54.0
65,156,House,Private room,West Jamesfurt,Western Sahara,4,2,1,178,15:54.0
66,164,Condo,Private room,Lake Jenniferberg,Kiribati,3,1,1,284,15:54.0
67,89,Apartment,Entire home,New Deanton,Grenada,1,4,1,141,15:54.0
68,91,Condo,Entire home,Hamiltonburgh,Panama,2,2,3,240,15:54.0
69,180,Apartment,Entire home,Stokesberg,Iran,3,1,3,223,15:54.0
70,21,Condo,Entire home,Stephenborough,Brunei Darussalam,5,4,2,199,15:54.0
71,101,Condo,Entire home,Port Aaron,Lesotho,5,2,3,71,15:54.0
72,49,Condo,Private room,North Jamie,United States of America,2,1,1,117,15:54.0
73,150,Apartment,Entire home,Angelafurt,North Macedonia,6,3,2,162,15:54.0
74,123,Apartment,Private room,New Nancy,Qatar,4,4,2,291,15:54.0
75,34,House,Private room,Jeffreytown,Yemen,2,2,2,180,15:54.0
76,124,Apartment,Entire home,Port Victor,Saint Martin,4,2,3,92,15:54.0
77,129,Condo,Private room,Savageborough,Tuvalu,4,3,1,208,15:54.0
78,133,Condo,Private room,New Jessica,Faroe Islands,4,1,2,145,15:54.0
79,191,Condo,Entire home,South Brendashire,Andorra,2,2,2,155,15:54.0
80,172,Apartment,Entire home,East Bill,Saint Pierre and Miquelon,1,1,2,159,15:54.0
81,85,House,Private room,Marcusburgh,Egypt,6,2,3,245,15:54.0
82,143,Condo,Entire home,New Deannatown,Mauritius,3,3,2,187,15:54.0
83,86,Apartment,Entire home,Fletcherstad,Libyan Arab Jamahiriya,5,4,2,149,15:54.0
84,57,House,Entire home,East Meganfort,New Zealand,6,3,1,113,15:54.0
85,110,Apartment,Private room,Lake Jacqueline,Korea,6,2,2,71,15:54.0
86,163,Apartment,Entire home,Lake Maryshire,El Salvador,5,3,2,162,15:54.0
87,48,Apartment,Entire home,Murphyside,United Arab Emirates,4,2,3,273,15:54.0
88,29,Condo,Private room,Rebeccastad,Turkmenistan,3,2,3,52,15:54.0
89,38,Apartment,Private room,Howardport,Swaziland,6,1,2,85,15:54.0
90,104,Condo,Entire home,North Robert,Wallis and Futuna,5,2,3,123,15:54.0
91,66,Condo,Entire home,West Stephenhaven,Egypt,6,2,3,87,15:54.0
92,87,Condo,Private room,Jeremyville,Spain,2,2,2,171,15:54.0
93,65,Condo,Private room,West Jennifer,Morocco,5,2,3,242,15:54.0
94,3,House,Private room,Port Johnberg,Tokelau,5,2,3,169,15:54.0
95,171,Apartment,Private room,Jeanettefurt,Nicaragua,3,1,3,212,15:54.0
96,80,Condo,Private room,Rossstad,United Kingdom,5,3,3,273,15:54.0
97,52,Condo,Entire home,Andrewsburgh,Jersey,3,4,2,191,15:54.0
98,160,House,Private room,Lake Shelbyborough,Sao Tome and Principe,5,4,1,214,15:54.0
99,60,Condo,Entire home,South Ginafurt,Pitcairn Islands,4,1,1,72,15:54.0
100,177,Apartment,Private room,Hansenport,Djibouti,1,3,2,63,15:54.0
101,173,House,Private room,Elliottborough,Sao Tome and Principe,5,2,3,91,15:54.0
102,8,House,Private room,Troyville,Uganda,1,2,3,84,15:54.0
103,67,Condo,Entire home,Leemouth,Uganda,3,2,1,216,15:54.0
104,194,House,Private room,North Stephanie,Sao Tome and Principe,4,4,3,73,15:54.0
105,183,Apartment,Entire home,Owensshire,French Guiana,5,2,1,246,15:54.0
106,13,Apartment,Private room,Port Jenniferhaven,Lesotho,6,2,2,256,15:54.0
107,127,House,Private room,Robertfurt,Djibouti,1,4,3,213,15:54.0
108,14,Apartment,Entire home,Tracishire,Norway,3,1,1,151,15:54.0
109,192,House,Entire home,Port Scottbury,Mongolia,1,3,3,150,15:54.0
110,198,House,Private room,Port Pamelaton,Indonesia,1,1,3,278,15:54.0
111,15,House,Entire home,West Alexandriaside,Lebanon,6,4,2,204,15:54.0
112,59,Apartment,Entire home,Lake Cesar,Japan,4,3,2,246,15:54.0
113,108,House,Private room,South Crystal,Northern Mariana Islands,2,1,3,246,15:54.0
114,132,House,Private room,West Olivia,Reunion,6,4,2,286,15:54.0
115,137,Condo,Entire home,Port Kim,San Marino,5,2,1,187,15:54.0
116,25,Apartment,Entire home,Mccallshire,Tokelau,6,2,1,65,15:54.0
117,5,House,Entire home,Barnettburgh,Solomon Islands,3,4,2,168,15:54.0
118,138,House,Entire home,Amyburgh,British Indian Ocean Territory (Chagos Archipelago),4,4,1,52,15:54.0
119,66,House,Private room,Williammouth,British Indian Ocean Territory (Chagos Archipelago),5,1,2,243,15:54.0
120,138,House,Entire home,Jenniferburgh,Nigeria,1,2,3,59,15:54.0
121,57,Apartment,Entire home,Lake Bethany,Italy,4,1,2,244,15:54.0
122,74,Condo,Entire home,North Stephanietown,Austria,6,3,1,222,15:54.0
123,176,Condo,Entire home,Elizabethmouth,Malawi,6,2,2,142,15:54.0
124,133,House,Private room,Carterborough,Paraguay,1,1,2,264,15:54.0
125,89,House,Private room,Lynnbury,United States Virgin Islands,5,4,1,163,15:54.0
126,23,Apartment,Entire home,New Renee,Mongolia,3,2,3,270,15:54.0
127,106,Apartment,Entire home,South Benjaminview,Ireland,3,1,1,60,15:54.0
128,122,Apartment,Entire home,Kimberlystad,Moldova,1,2,3,180,15:54.0
129,185,Condo,Private room,Shanemouth,Liberia,5,1,3,80,15:54.0
130,81,Condo,Private room,Margaretfurt,Saint Lucia,5,4,2,299,15:54.0
131,5,Condo,Entire home,New Crystal,Ukraine,5,2,3,154,15:54.0
132,172,House,Private room,Port Shane,Ethiopia,6,1,3,160,15:54.0
133,168,Apartment,Entire home,Kristinestad,Bangladesh,3,1,3,140,15:54.0
134,77,Condo,Private room,Lake Jason,Myanmar,3,3,2,90,15:54.0
135,78,House,Private room,Morrisville,Czech Republic,1,4,3,87,15:54.0
136,39,House,Private room,Lake Scott,Greenland,5,1,1,177,15:54.0
137,144,Condo,Entire home,South Samantha,Italy,5,3,1,148,15:54.0
138,123,Apartment,Entire home,Port Loriport,Cameroon,3,1,1,242,15:54.0
139,151,Condo,Entire home,Port Kimberly,Afghanistan,5,1,3,132,15:54.0
140,6,House,Private room,Mollyton,Cote d'Ivoire,1,3,3,271,15:54.0
141,88,Apartment,Entire home,Kaitlynchester,Uzbekistan,4,3,1,68,15:54.0
142,67,Condo,Entire home,East Bradleystad,Dominican Republic,4,3,3,87,15:54.0
143,145,Condo,Private room,Pennymouth,Fiji,1,1,1,179,15:54.0
144,109,Apartment,Private room,North Teresastad,Zimbabwe,2,4,2,67,15:54.0
145,112,Apartment,Entire home,Cowanton,French Southern Territories,3,4,1,278,15:54.0
146,109,Apartment,Private room,Wilkersonberg,Kiribati,6,1,1,135,15:54.0
147,42,House,Private room,Williamtown,Tonga,1,1,1,250,15:54.0
148,121,Apartment,Private room,New Nicole,Congo,4,3,2,278,15:54.0
149,88,Condo,Private room,Paulfurt,Uruguay,1,2,2,66,15:54.0
150,44,Condo,Entire home,Port Samuelborough,Kuwait,3,4,2,60,15:54.0
151,98,House,Entire home,East Robertside,Honduras,1,3,3,121,15:54.0
152,183,Apartment,Private room,Rodriguezfurt,Belize,2,2,3,246,15:54.0
153,182,Apartment,Entire home,South Jakefurt,Iran,5,3,1,204,15:54.0
154,4,Apartment,Private room,West Kathryn,French Polynesia,6,4,3,70,15:54.0
155,29,House,Entire home,New Shawn,Marshall Islands,1,3,3,201,15:54.0
156,46,Apartment,Private room,Port Paul,Iraq,5,1,1,75,15:54.0
157,163,Apartment,Private room,Frenchmouth,Yemen,4,3,3,122,15:54.0
158,105,Condo,Private room,Port Craig,Guinea-Bissau,6,1,3,110,15:54.0
159,29,Apartment,Private room,Stevenside,Brunei Darussalam,6,3,1,146,15:54.0
160,38,House,Entire home,New Stephaniemouth,French Southern Territories,6,1,3,86,15:54.0
161,53,Condo,Private room,Pedrobury,Tajikistan,5,1,3,247,15:54.0
162,60,Condo,Private room,Lake Pamelaville,Maldives,4,1,3,270,15:54.0
163,74,Condo,Private room,West Jennifer,Micronesia,6,4,1,180,15:54.0
164,11,Condo,Private room,Port Angela,Antigua and Barbuda,2,3,3,234,15:54.0
165,152,House,Entire home,Lake Edwin,Antigua and Barbuda,1,3,1,203,15:54.0
166,199,Condo,Private room,North Justinville,Zambia,1,3,3,289,15:54.0
167,171,Condo,Entire home,New Phillip,Bouvet Island (Bouvetoya),6,1,2,192,15:54.0
168,175,Apartment,Entire home,Port Shawn,Liberia,5,1,2,197,15:54.0
169,47,Condo,Private room,New Annaport,American Samoa,5,4,1,223,15:54.0
170,76,Condo,Entire home,Bradfordton,New Caledonia,6,2,3,134,15:54.0
171,65,Apartment,Entire home,South Jamesview,Malawi,3,4,3,209,15:54.0
172,143,Apartment,Entire home,Port Joseph,Qatar,6,2,3,146,15:54.0
173,139,Condo,Entire home,Meyerton,Hungary,4,4,3,166,15:54.0
174,181,House,Private room,Stephenfort,Ghana,3,3,1,113,15:54.0
175,193,Apartment,Entire home,Carpenterport,Costa Rica,5,1,1,290,15:54.0
176,2,House,Private room,Brandonside,Cameroon,1,3,1,82,15:54.0
177,114,Apartment,Private room,South Williammouth,British Virgin Islands,4,3,2,197,15:54.0
178,183,Apartment,Private room,Gutierrezhaven,Tanzania,3,1,2,254,15:54.0
179,142,House,Private room,East Jacksonville,Honduras,5,4,2,286,15:54.0
180,124,House,Private room,Yorkberg,Nauru,1,3,2,134,15:54.0
181,169,Apartment,Entire home,Maysmouth,Haiti,1,3,1,60,15:54.0
182,134,Apartment,Entire home,Georgefurt,Mongolia,3,4,1,119,15:54.0
183,184,Apartment,Entire home,Sarahhaven,Comoros,4,3,2,124,15:54.0
184,109,Condo,Private room,Colemanmouth,Saint Kitts and Nevis,4,1,2,220,15:54.0
185,158,Apartment,Private room,Port Brendan,Gabon,5,4,2,117,15:54.0
186,152,Condo,Private room,West Kristenberg,Holy See (Vatican City State),6,4,2,280,15:54.0
187,184,Apartment,Private room,Lake Jason,Zambia,4,3,3,217,15:54.0
188,126,House,Entire home,Lake Laurenfurt,Libyan Arab Jamahiriya,3,3,1,53,15:54.0
189,38,Apartment,Private room,South Josephmouth,Pakistan,1,4,1,108,15:54.0
190,171,Condo,Entire home,Owensfort,Montenegro,3,2,1,240,15:54.0
191,125,House,Entire home,New Michele,Martinique,4,2,2,287,15:54.0
192,168,House,Private room,North Dianeshire,Poland,5,4,3,271,15:54.0
193,125,House,Private room,New Stephentown,Monaco,6,3,1,182,15:54.0
194,161,Condo,Private room,Wiseborough,Peru,5,1,2,162,15:54.0
195,76,Condo,Private room,Whitakerton,Vanuatu,3,1,3,206,15:54.0
196,32,House,Private room,Thomasfort,South Africa,6,3,3,125,15:54.0
197,35,House,Entire home,Victoriaburgh,Paraguay,3,3,3,178,15:54.0
198,11,Condo,Entire home,Rebeccamouth,Namibia,3,2,1,182,15:54.0
199,20,Condo,Private room,Jacobfurt,Lao People's Democratic Republic,2,2,1,260,15:54.0
200,122,House,Entire home,West Amberbury,Nigeria,5,1,3,124,15:54.0
201,167,Condo,Entire home,Lake Matthewfurt,Luxembourg,5,1,3,170,15:54.0
202,131,Condo,Entire home,Davismouth,Togo,3,1,2,89,15:54.0
203,42,Condo,Entire home,Destinyshire,Nepal,2,3,1,65,15:54.0
204,43,House,Private room,Kleinfort,South Africa,6,1,3,171,15:54.0
205,197,House,Entire home,Frostton,Mauritius,1,1,2,277,15:54.0
206,168,House,Private room,Lukechester,Micronesia,2,4,3,171,15:54.0
207,94,Apartment,Entire home,Port Rebekah,Myanmar,5,2,2,196,15:54.0
208,175,Condo,Entire home,Baileymouth,Antarctica (the territory South of 60 deg S),1,1,3,53,15:54.0
209,193,Apartment,Private room,South Jeanne,Micronesia,1,1,2,61,15:54.0
210,124,Condo,Private room,North Ivan,Malta,3,2,3,223,15:54.0
211,5,Condo,Entire home,New Scottmouth,Djibouti,5,3,2,292,15:54.0
212,138,Condo,Entire home,East Ashleyshire,Slovenia,5,4,2,260,15:54.0
213,112,Condo,Entire home,Lake Nathaniel,Turkey,2,4,1,158,15:54.0
214,96,Condo,Private room,Mckeebury,Uzbekistan,4,4,2,129,15:54.0
215,185,House,Private room,Ashleyberg,South Africa,3,3,3,247,15:54.0
216,22,Apartment,Entire home,Reginaldbury,Burkina Faso,2,1,1,298,15:54.0
217,139,House,Entire home,South Becky,Greece,1,1,3,269,15:54.0
218,134,House,Private room,Port William,Guam,1,3,2,217,15:54.0
219,111,House,Private room,Hicksbury,Mayotte,1,3,3,155,15:54.0
220,62,Apartment,Private room,South Robert,Bosnia and Herzegovina,4,2,3,73,15:54.0
221,155,Condo,Private room,Kevinbury,Egypt,2,4,1,138,15:54.0
222,33,House,Entire home,Carrollfurt,Turkey,4,2,2,158,15:54.0
223,165,Condo,Private room,Padillamouth,Maldives,3,4,1,114,15:54.0
224,59,House,Private room,North Charlesburgh,Iceland,5,1,1,108,15:54.0
225,92,Condo,Entire home,Douglaston,Bolivia,1,1,3,155,15:54.0
226,14,Condo,Private room,Kellieshire,Guernsey,4,4,2,294,15:54.0
227,58,House,Private room,Smithstad,Tuvalu,6,3,3,126,15:54.0
228,20,Apartment,Entire home,Port Andre,Guyana,2,2,3,108,15:54.0
229,163,House,Entire home,Port Andrewshire,South Georgia and the South Sandwich Islands,3,2,2,106,15:54.0
230,14,Condo,Entire home,South Lauraberg,Heard Island and McDonald Islands,6,1,3,278,15:54.0
231,158,Condo,Private room,New Thomas,Palestinian Territory,4,2,1,267,15:54.0
232,98,Condo,Private room,Coxborough,Spain,2,2,1,244,15:54.0
233,34,Apartment,Entire home,Toddstad,Portugal,2,3,1,174,15:54.0
234,73,House,Private room,West Lonnie,Benin,3,3,1,193,15:54.0
235,73,House,Entire home,Monicachester,India,2,4,1,72,15:54.0
236,9,Condo,Private room,Port Connieport,Congo,1,4,3,153,15:54.0
237,34,Apartment,Private room,West Juanfort,Palau,4,4,2,195,15:54.0
238,127,House,Private room,Lake Laurieview,Azerbaijan,1,1,3,160,15:54.0
239,77,Condo,Entire home,South Richardchester,Swaziland,3,3,2,88,15:54.0
240,19,Apartment,Private room,Marymouth,Heard Island and McDonald Islands,5,1,2,239,15:54.0
241,199,House,Entire home,Hubbardland,Ireland,1,3,1,248,15:54.0
242,185,House,Private room,Marshallchester,Cote d'Ivoire,2,4,1,214,15:54.0
243,39,Condo,Entire home,North Jessicastad,Monaco,2,3,2,213,15:54.0
244,179,House,Entire home,Feliciaside,Zambia,1,2,2,104,15:54.0
245,108,Apartment,Private room,Davidland,Iran,1,2,3,219,15:54.0
246,26,House,Private room,Port Sherry,Uzbekistan,1,2,3,88,15:54.0
247,109,Condo,Entire home,East Cheryl,Congo,5,3,2,281,15:54.0
248,192,Condo,Private room,Baileychester,Jersey,3,2,2,56,15:54.0
249,192,Apartment,Entire home,Houstonton,Costa Rica,4,3,3,109,15:54.0
250,191,House,Private room,New Sheri,Faroe Islands,3,3,3,225,15:54.0
